id	name	avg_rating	n_reviews	n_sold	price	n_loved	n_rate_5	rate_4	rate_3	rate_2	rate_1	rate_with_cmt	rate_with_imgvid	shop_name	shop_n_review	shop_n_product	shop_rate_feedback	shop_time_feedback	shop_age	shop_follower
18	Điện thoại Samsung Galaxy A20s (32GB/3GB) - Hãng phân phối chính thức	4.949275	828	15400.0	3290000.0	1439	805	13	3	1	5	262	190	samsung_official_store	20382	235	100	2891	84121417.48352003	80981
19	Điện thoại iPhone 8 Plus Quốc tế 64GB Mới 99% Bảo Hành 12 Tháng	4.682927	41	6500.0	5690000.0	8414	34	5	0	0	2	30	13	iphone..79	308	45	85	13930	19027188.493519545	22137
20	Điện thoại Vivo Y30i 4Gb + 64Gb - Hàng chính hãng	4.968675	415	2500.0	2850000.0	597	408	7	1	0	1	106	75	vivo_official_store_vn	3466	50	100	3835	81590391.2040453	79610
21	Điện Thoại Nokia 101,Nokia 100 Zin Chính Hãng Đủ Pin Sạc	4.56295	1113	3300.0	129000.0	31422	683	70	39	18	43	420	227	thuythuy889	11732	97	96	2736	160843873.08822083	39100
22	Điện Thoại Samsung Galaxy A01 Core (2GB/32GB) - Hàng Chính Hãng	4.829787	94	1500.0	1890000.0	248	87	2	2	2	1	24	20	samsung_official_store	20382	235	100	2891	84121421.20226026	80981
23	Điện thoại Nokia 1280 Huyền thoại chính hãng kèm pin sạc	4.771429	35	5900.0	189000.0	3584	33	0	0	0	2	29	27	annhien_mobile	1444	499	89	5244	94479180.97242641	27559
24	Điện thoại Nokia 1280 Huyền thoại chính hãng kèm pin sạc	4.823529	34	4100.0	189900.0	3626	32	0	1	0	1	33	30	annhien_mobile	1444	499	89	5244	94479181.7094276	27559
25	Điện thoại Nokia 1280 chính hãng nguyên zin Nghe gọi to	4.782609	46	3300.0	45000.0	3585	41	3	0	1	1	38	31	annhien_mobile	1444	499	89	5244	94479182.48170471	27559
26	Điện thoại Siêu Nhỏ B3310 02 sim 02 sóng gắn được thẻ nhớ	4.879274	936	3800.0	52000.0	546	648	31	9	5	7	262	179	chinhhangdienthoai	1948	228	87	10364	74230329.48170781	1014
27	Điện Thoại NOKIA 6300 6300i Main Zin Chính Hãng Đủ Màu - OHNO BH 24 Tháng Có Pin & Sạc	4.729167	48	5900.0	499000.0	1703	41	3	3	0	1	20	7	ohnovn	390	176	82	10672	50928234.45582867	3388
28	Điện thoại iPhone 7 Plus Quốc tế 128GB Mới 99% Bảo Hành 12 Tháng	4.652174	23	5700.0	5990000.0	7924	19	2	1	0	1	19	6	iphone..79	308	45	85	13930	19027196.399859905	22137
29	Điện thoại Mini-Nokia 3310 2 sim 2 sóng, Mini siêu nhỏ,Bh 12 tháng 1 đổi 1	4.866667	105	1800.0	169000.0	49	98	4	1	0	2	60	45	tomeno	1054	270	98	4016	72705360.97285104	840
30	Điện Thoại Nokia 1280 Siêu Mới Đẹp. Dùng rất bền	5.0	9	1900.0	185000.0	6059	9	0	0	0	0	6	5	thaophuongphuongphuong	384	104	98	1129	99739808.81283331	24117
31	Điện thoại siêu nhỏ 2 sim lắp được thẻ nhớ	4.93871	310	2200.0	158000.0	524	148	1	1	1	2	71	53	vuthuha1207_94	1259	121	58	12243	93185551.49834347	1528
32	điện thoại Samsung Galaxy S8 64G 2sim CHÍNH HÃNG mới (Đủ màu)	4.625	8	5100.0	2990000.0	210	7	0	0	1	0	7	6	didongviet1	875	341	66	11095	4858355.283369064	10299
33	Điện thoại iPhone 7 Plus Quốc tế 128GB Mới 99% Bảo Hành 12 Tháng	4.942857	36	2900.0	4490000.0	415	18	0	1	1	0	15	9	gianhangapple	479	49	85	11931	38740878.18640065	3405
34	Điện Thoại Samsung Galaxy M21 (64GB/4GB) - Hàng Chính Hãng	4.888889	693	1400.0	3990000.0	1324	646	32	5	5	5	370	280	samsung_official_store	20382	235	100	2891	84121434.12040186	80981
35	Anten wiffi iphone 6, 6s	4.809524	21	36.0	15000.0	10	8	0	0	0	0	1	1	linhkieniphone	24509	2250	83	5629	99480091.5997119	11637
36	Điện Thoại Nokia 6300 Đủ Màu Kiểu Dáng Nhỏ Gọn Tiện Lợi	5.0	3	2900.0	320000.0	5527	3	0	0	0	0	3	3	thaophuongphuongphuong	384	104	98	1129	99739816.29572296	24117
37	Điện thoại Vsmart Joy4 (3GB+64GB) - Hàng chính hãng	4.936975	238	623.0	2990000.0	253	229	4	4	1	0	120	81	vsmart_official_store	1025	22	100	2521	58284138.48475242	7073
38	[HÀNG CHÍNH HÃNG] ĐIỆN THOẠI Nokia 1280 kèm pin sạc có bảo hành 6 THÁNG	4.918033	122	282.0	239000.0	2853	113	8	1	0	0	74	55	hachi8892	234	70	97	1558	46428932.234750986	4209
39	Điện Thoại Mini Nokia 2 Sim Cute	4.905172	116	562.0	175000.0	64	108	5	3	0	0	50	31	anhbinhminhv	217	41	95	1188	20791976.54875183	154
