name	category	n_sold	price	shop_address	image_url	url
Điện Thoại Mini Nokia 2 Sim Cute	DIENTHOAI	556.0	175000.0	Hà Nội	https://cf.shopee.vn/file/ba69e7dfbfb204d0f022dadd43ece33e_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Mini-Nokia-2-Sim-Cute-i.251968365.5050427869
Điện Thoại Xiaomi Redmi Note 8 64GB Ram 4GB - Hàng Nhập Khẩu	DIENTHOAI	3800.0	3450000.0	Hà Nội	https://cf.shopee.vn/file/86547dacf84276e77e03a579ec05eb2c_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Xiaomi-Redmi-Note-8-64GB-Ram-4GB-H%C3%A0ng-Nh%E1%BA%ADp-Kh%E1%BA%A9u-i.39104237.2738984285
Điện Thoại Nokia 1202 Chính Hãng Bảo Hành 12 Tháng Chưa Sửa Chữa Nguyên Zin	DIENTHOAI	1500.0	158000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/009e7b056efc5abcca620cfcc879f894_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-1202-Ch%C3%ADnh-H%C3%A3ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-Ch%C6%B0a-S%E1%BB%ADa-Ch%E1%BB%AFa-Nguy%C3%AAn-Zin-i.70094786.1186940117
Điện Thoại Masstel Fami 12 Hàng Mới Nguyên Hộp - Bảo Hành Chính Hãng	DIENTHOAI	1100.0	319000.0	Hà Nội	https://cf.shopee.vn/file/959b6a6d22ff6675e3bc808982827d36_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Masstel-Fami-12-H%C3%A0ng-M%E1%BB%9Bi-Nguy%C3%AAn-H%E1%BB%99p-B%E1%BA%A3o-H%C3%A0nh-Ch%C3%ADnh-H%C3%A3ng-i.14947974.429343852
Điện Thoại Samsung Galaxy M31 (6GB/128GB) - Hàng Chính Hãng	DIENTHOAI	419.0	4890000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/27555cd8b736bd951bcc644a40c69299_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-M31-(6GB-128GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.65589552.7751975865
Điện thoại Nokia 1202 ( kèm pin sạc )	DIENTHOAI	328.0	115000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/1d0506e02c5b5cece45743aff769a94a_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-1202-(-k%C3%A8m-pin-s%E1%BA%A1c-)-i.238625379.4020879162
Máy đọc sách Kindle Paperwhite used máy đẹp có đèn nền Vbookshop	MAYTINHBANG	640.0	950000.0	Hà Nội	https://cf.shopee.vn/file/5d7821325f3e0b1442b4b52467e31b74_tn	https://shopee.vn/M%C3%A1y-%C4%91%E1%BB%8Dc-s%C3%A1ch-Kindle-Paperwhite-used-m%C3%A1y-%C4%91%E1%BA%B9p-c%C3%B3-%C4%91%C3%A8n-n%E1%BB%81n-Vbookshop-i.92936184.1541667529
Máy đọc sách Kindle paperwhite gen 4 10th hàng used máy đẹp	MAYTINHBANG	360.0	2100000.0	Hà Nội	https://cf.shopee.vn/file/ebba02e1101f55094b23db540bab92f7_tn	https://shopee.vn/M%C3%A1y-%C4%91%E1%BB%8Dc-s%C3%A1ch-Kindle-paperwhite-gen-4-10th-h%C3%A0ng-used-m%C3%A1y-%C4%91%E1%BA%B9p-i.92936184.2622270543
Máy Đọc Sách Kindle Paperwhite Máy Đẹp Có Chứng Từ Nguồn Gốc Xuất Xứ Nhật Bản	MAYTINHBANG	420.0	1300000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/fd5275eca7558071ba951e8548f82e27_tn	https://shopee.vn/M%C3%A1y-%C4%90%E1%BB%8Dc-S%C3%A1ch-Kindle-Paperwhite-M%C3%A1y-%C4%90%E1%BA%B9p-C%C3%B3-Ch%E1%BB%A9ng-T%E1%BB%AB-Ngu%E1%BB%93n-G%E1%BB%91c-Xu%E1%BA%A5t-X%E1%BB%A9-Nh%E1%BA%ADt-B%E1%BA%A3n-i.50756834.7212056821
Kindle paperwhite gen 2, gen 3 ngoại hình xước xát	MAYTINHBANG	192.0	1050000.0	Hà Nội	https://cf.shopee.vn/file/121084306f6ff4eddda83075b61bb944_tn	https://shopee.vn/Kindle-paperwhite-gen-2-gen-3-ngo%E1%BA%A1i-h%C3%ACnh-x%C6%B0%E1%BB%9Bc-x%C3%A1t-i.92936184.7806813685
Điện Thoại Samsung Galaxy Note 4 (Dual sim) Fullbox Nhập khẩu	MAYTINHBANG	2000.0	1850000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/a67d5c06a2ed6d4cc42ed02f6d4cb71d_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-Note-4-(Dual-sim)-Fullbox-Nh%E1%BA%ADp-kh%E1%BA%A9u-i.48810739.1780858995
Máy tính bảng Asus ZenPad Z10 2017 99% màn 2K chuyên Games	MAYTINHBANG	410.0	3290000.0	Hà Nội	https://cf.shopee.vn/file/bcb63c01319be4c4e72b01f71632c18c_tn	https://shopee.vn/M%C3%A1y-t%C3%ADnh-b%E1%BA%A3ng-Asus-ZenPad-Z10-2017-99-m%C3%A0n-2K-chuy%C3%AAn-Games-i.25990212.1495490640
Máy tính bảng Xiaomi Mipad 1 + cường lực, ốp lưng	MAYTINHBANG	431.0	1790000.0	Hà Nội	https://cf.shopee.vn/file/69e064641014849e3675dc4f082ed24d_tn	https://shopee.vn/M%C3%A1y-t%C3%ADnh-b%E1%BA%A3ng-Xiaomi-Mipad-1-c%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-%E1%BB%91p-l%C6%B0ng-i.25990212.1167684600
Máy Tính Bảng iPad 4 - 64/ 32/ 16Gb (Wifi + 4G)- Zin Đẹp 99% - Pin Khoẻ - Màn Rentina sắc nét	MAYTINHBANG	500.0	2390000.0	Quảng Ninh	https://cf.shopee.vn/file/33c8ff87f3805ba9a22c70e68e475f19_tn	https://shopee.vn/M%C3%A1y-T%C3%ADnh-B%E1%BA%A3ng-iPad-4-64-32-16Gb-(Wifi-4G)-Zin-%C4%90%E1%BA%B9p-99-Pin-Kho%E1%BA%BB-M%C3%A0n-Rentina-s%E1%BA%AFc-n%C3%A9t-i.4670967.492888802
